packId,packVersion,deploymentProfile,trustPosture,comparisonIntent,presetOrTargetId,roleScope,modelId,servingAdapter,quantization,hardwareProfile,benchmarkFamily,benchmarkId,splitClass,score,normalizedScore,repeatCount,confidenceClass,coverageClass,runId,manifestPath
,,local_gpu_8gb_class,local_only,model_change,planner-grade-local-oss-qwen3-8b,planner_verifier,qwen3:8b,,,local_gpu_8gb_class,artifacts,artifact-download-bundle,,,,1,low,full,2026-04-05T22-49-58-220Z,/home/heathledger/Documents/ioi/repos/ioi/docs/evidence/agent-model-matrix/latest-run-manifest.json
,,local_gpu_8gb_class,local_only,model_change,coding-executor-local-oss,coding_executor,qwen2.5:7b,,,local_gpu_8gb_class,artifacts,artifact-download-bundle,,,,1,low,full,2026-04-05T22-49-58-220Z,/home/heathledger/Documents/ioi/repos/ioi/docs/evidence/agent-model-matrix/latest-run-manifest.json
